Wind_Speed,Rotate_Speed,Pitch_Angle,Wind_Direction,Power_Active
5.186798,1174,-0.01,169.577,339.3781
4.807114,1281,0.0,198.0066,333.8005
4.90441,1060,-0.02,143.234,159.341
6.657887,1505,-0.04,188.9859,547.416
6.106258,1166,-0.02,158.6701,451.6381
7.262346,1408,-0.04,174.7544,845.8167
8.675612,1653,-0.04,168.1114,1234.306
4.577293,1037,-0.02,200.3234,124.2042
4.287102,1133,-0.02,180.0649,197.1574
6.695009,1545,-0.03,187.6847,623.3073
6.354933,1298,-0.04,182.6347,624.0854
3.998304,1167,-0.03,188.7864,98.28378
7.094036,1744,-0.05,177.9786,636.4122
6.289248,1068,-0.04,126.3649,318.4978
6.202437,1747,0.61,168.6574,601.0016
7.482068,1776,6.85,179.1293,930.608
5.796912,1463,-0.02,163.5023,348.9763
5.360711,1060,-0.02,179.0189,277.9077
4.190371,1060,-0.04,189.0645,125.0713
3.131054,1012,-0.03,170.7827,35.21893
7.585433,1342,-0.01,162.9693,563.4315
4.634319,1059,-0.01,182.5607,164.0359
4.706743,1057,-0.02,212.6466,116.876
3.315353,1075,0.0,144.7001,22.33296
6.733294,1590,-0.02,210.5607,379.8063
7.566331,1200,-0.02,145.2591,561.6248
7.815071,1588,-0.03,154.9926,830.235
5.100385,1063,-0.03,158.1013,237.6033
5.798792,1064,-0.03,182.4,386.482
7.273784,1491,-0.04,160.3208,543.8591
5.287363,1417,-0.04,186.6862,291.3533
7.793783,1769,1.02,177.985,1101.351
6.834587,1178,-0.04,162.944,576.3506
6.509915,1702,-0.03,180.7784,592.7083
7.630987,1519,-0.05,192.2524,901.5151
7.25299,1780,2.1,174.4527,809.1852
8.473927,1721,-0.05,175.9678,1196.758
5.559583,1059,-0.05,178.5764,272.285
5.225841,1063,-0.05,185.9895,211.255
6.52185,1287,-0.04,178.4079,564.7424
6.57267,1419,-0.05,177.5469,577.7114
5.55324,1060,-0.03,190.311,322.6254
6.07153,1298,-0.03,164.8734,372.0665
5.153647,1203,-0.05,173.7736,238.2522
6.072657,1382,-0.05,189.5213,408.984
5.856923,1103,-0.05,176.449,395.5828
6.124285,1391,-0.05,179.5159,497.1246
6.88083,1600,0.0,183.8349,686.0559
7.466618,1655,-0.04,175.1104,844.6038
7.657155,1685,-0.03,180.4277,956.2591
7.210263,1457,-0.05,170.3949,701.9389
7.814784,1755,-0.05,181.568,943.5184
8.024323,1759,-0.02,185.8245,1007.98
7.837688,1708,-0.04,190.3823,950.6602
7.532725,1465,-0.03,174.6515,871.0656
6.945463,1482,-0.04,174.8596,575.2328
7.072794,1548,-0.05,173.7132,661.1403
6.345757,1530,-0.02,179.6285,475.2587
7.098024,1759,-0.04,180.1248,721.2591
6.433379,1288,-0.05,173.3798,496.941
7.690472,1759,-0.05,186.5216,962.5088
7.350054,1703,-0.02,187.2877,778.8719
6.384436,1616,-0.05,187.472,505.1048
7.220921,1243,-0.05,180.6638,725.1959
7.6863,1692,-0.03,182.1876,782.5035
7.053373,1614,-0.03,187.6837,530.828
5.517874,1349,-0.03,193.5952,289.8873
7.17824,1578,-0.02,168.9354,667.175
6.258283,1534,-0.05,183.8723,435.2628
6.801287,1412,-0.04,177.9676,483.9697
6.692849,1344,-0.04,176.92,663.7084
6.181294,1402,-0.02,177.6766,473.2723
6.264534,1454,-0.04,178.486,588.8805
7.270774,1329,-0.04,181.8678,733.4936
7.000789,1380,-0.05,185.9787,741.4067
6.6569,1284,-0.02,190.1292,575.0546
6.051569,1316,-0.04,168.8152,398.465
6.86615,1604,-0.04,178.5591,538.2274
5.274998,1063,-0.04,158.9996,199.0845
6.878408,1523,-0.03,173.0397,484.2199
6.099877,1471,-0.03,203.2505,336.6924
6.154177,1239,-0.03,170.0358,443.3362
7.310571,1748,-0.04,183.8636,692.9003
6.11694,1413,-0.04,188.8014,461.8544
5.655109,1060,-0.04,166.9938,252.9268
5.4202,1067,-0.04,202.2249,262.7029
4.283364,1057,-0.04,172.9003,138.5775
5.640519,1296,-0.04,211.117,231.3889
6.512227,1279,-0.02,179.0573,526.514
5.952148,1266,-0.01,192.1741,363.5552
5.98867,1052,-0.02,165.5014,413.7123
7.354229,1553,-0.04,187.9561,720.9963
5.583324,1144,-0.04,185.3781,332.2749
3.573397,1060,-0.04,167.3395,81.7765
4.586309,1207,-0.04,163.8907,205.778
4.321449,1059,-0.03,159.2615,142.7578
3.523002,1062,-0.03,212.1619,84.69828
5.012033,1126,-0.01,202.575,255.1702
5.272604,1577,-0.01,211.3329,249.7748
6.016183,1115,-0.05,158.3742,371.3908
3.400998,1280,0.0,176.7066,31.98792
3.994322,1118,0.0,195.1017,111.6987
4.082047,1059,0.0,176.3501,105.4708
7.212349,1767,1.29,194.6313,841.3516
5.920353,1071,-0.05,182.6294,458.7667
7.146457,1553,-0.01,201.815,677.2204
7.777033,1755,0.7,163.7689,936.0883
8.587443,1750,-0.06,187.657,1158.304
7.299528,1505,-0.04,160.4993,733.4304
9.493081,1751,2.48,178.1361,1476.452
6.821266,1703,-0.04,176.8977,712.3489
4.884803,1100,-0.04,170.956,251.0965
4.822193,1057,-0.04,180.502,178.576
5.800349,1302,-0.04,172.2615,360.2125
6.015293,1059,-0.03,166.5822,372.1046
4.635142,1097,-0.03,179.4222,196.2887
5.683479,1057,-0.04,175.5729,423.4406
6.652962,1458,-0.03,185.0183,636.0842
6.67896,1373,-0.04,185.1004,511.5503
5.48638,1136,-0.04,175.6512,321.1926
6.286075,1265,-0.04,183.9255,437.2952
4.662786,1088,-0.04,189.3821,134.3278
5.830956,1182,-0.04,169.2844,310.5788
6.497035,1581,-0.01,174.7225,469.3219
6.648552,1497,-0.03,176.2471,673.8364
7.910411,1781,2.66,179.6841,938.0657
8.060427,1559,-0.03,182.0492,938.639
8.41438,1762,-0.05,183.525,1101.942
8.719055,1697,-0.03,186.7033,1152.767
8.35187,1751,0.93,187.6369,1161.006
7.450869,1774,3.97,175.818,829.8121
6.761742,1410,-0.02,182.5363,639.9068
6.715021,1479,-0.02,178.3071,497.8275
5.638979,1060,-0.02,170.367,301.8888
6.611217,1284,-0.01,170.5326,552.6837
6.245328,1398,-0.01,176.5321,461.2089
6.24201,1386,-0.04,188.5382,493.6397
6.105595,1399,-0.01,175.9604,418.3569
5.550369,1210,-0.04,193.4076,324.8843
5.217909,1126,-0.04,165.6073,222.1666
7.487624,1443,-0.03,186.9822,777.4852
7.368108,1747,-0.04,176.2,843.7682
6.862008,1517,-0.05,175.0109,672.2593
7.91697,1750,-0.02,175.2083,897.4396
8.233782,1702,-0.01,176.4292,1013.877
7.806016,1691,-0.03,180.9261,967.4724
8.644456,1766,-0.05,187.7502,1205.912
9.097962,1752,-0.03,190.3668,1218.232
7.869862,1766,0.32,177.0216,913.9126
7.605626,1590,-0.04,172.061,805.6882
8.300894,1700,-0.04,163.8358,930.6745
7.835879,1756,-0.04,188.683,935.3569
7.257486,1774,-0.05,183.3833,723.5338
7.209181,1517,-0.02,190.2295,754.0089
6.409183,1447,-0.02,175.4715,526.4489
6.415423,1631,-0.01,178.5829,490.7658
7.690536,1585,-0.03,184.0068,702.1061
7.13464,1645,-0.03,195.356,703.2888
7.409611,1649,-0.01,171.9867,767.4902
7.00924,1507,-0.03,171.4978,632.2043
8.076055,1767,-0.05,176.8873,877.0062
7.503042,1695,-0.04,176.6988,723.2067
6.506918,1250,-0.04,184.002,603.6686
7.565355,1623,-0.04,176.7952,644.5767
7.081198,1471,-0.03,182.2862,605.7681
6.753686,1541,-0.03,179.5206,500.216
6.489227,1382,-0.05,173.5135,491.5544
6.993692,1449,-0.04,188.4493,653.425
6.764281,1195,-0.01,190.6549,633.7985
6.476098,1244,-0.05,183.9564,482.9788
5.919724,1062,-0.04,177.3089,500.2567
6.538537,1382,-0.05,164.2681,578.7484
5.845366,1213,-0.03,188.9661,388.2366
6.244607,1290,-0.01,185.4397,467.7016
4.839942,1063,-0.01,192.9031,182.0113
3.454592,1060,-0.01,181.8098,57.10963
3.900294,1059,-0.01,188.3694,112.2245
3.265589,1059,-0.01,174.9753,46.64054
4.594416,1062,-0.01,183.5061,178.3433
3.152005,1057,-0.01,157.1579,21.38019
3.937763,1060,0.0,179.6852,125.704
2.27325,862,-0.01,172.3579,31.25091
4.890735,1059,-0.01,199.2462,194.1386
5.830906,1228,-0.04,179.0406,482.6046
7.160238,1353,-0.01,192.0973,884.1298
5.46879,1232,-0.02,186.262,404.5617
3.852407,1071,-0.04,154.5086,116.616
2.593491,1062,-0.04,193.5576,67.82919
4.907039,1257,-0.04,173.2681,223.0235
5.138833,1064,-0.04,200.6207,321.5219
7.680583,1575,-0.04,187.7476,806.9274
7.877009,1747,-0.01,180.6032,1012.613
7.145797,1745,-0.03,185.5558,754.2312
4.310334,1059,-0.04,198.1574,90.80701
3.654931,1029,-0.04,210.4282,48.69816
4.892652,1071,-0.04,224.2672,76.09397
5.200298,1247,-0.03,194.3399,327.3023
8.363631,1766,0.48,182.191,1094.202
10.06973,1774,0.15,184.6501,1536.466
10.46459,1776,10.43,178.6117,1827.438
9.159809,1783,1.81,181.355,1396.486
9.972588,1772,0.17,178.2329,1599.857
7.545335,1539,-0.05,172.7409,858.636
9.627166,1755,0.85,174.3274,1473.764
9.170269,1626,-0.05,160.3126,1140.18
9.415643,1612,-0.03,188.8516,1350.22
7.622531,1425,-0.01,172.8712,821.9434
7.378602,1758,0.29,181.098,676.3955
6.847117,1550,-0.02,193.981,604.6279
7.203185,1379,-0.04,181.5096,731.0462
7.21263,1560,-0.03,173.2227,732.6804
6.643542,1059,-0.01,163.3973,539.4297
6.911935,1542,-0.05,185.9897,721.884
6.31673,1596,-0.01,183.3901,516.8269
6.953094,1274,-0.03,173.0499,634.3262
6.82048,1754,1.3,191.8354,537.2826
6.28863,1589,-0.04,169.9254,502.4958
6.724835,1284,-0.04,182.3808,584.0117
7.221348,1614,-0.04,185.1436,698.7503
7.609853,1773,4.81,184.0717,885.9412
8.083473,1759,0.98,180.5348,953.98
9.094383,1759,2.03,177.0484,1366.861
8.540978,1761,0.3,194.4159,1200.02
9.27433,1741,0.8,195.0944,1378.287
7.420268,1501,-0.01,170.1452,879.702
7.659959,1769,0.87,176.3045,928.9147
8.043855,1763,0.0,181.9537,1066.984
7.837573,1759,0.06,185.704,1035.481
7.300024,1759,-0.03,180.6508,1029.719
6.748359,1608,-0.04,178.9982,675.7791
6.444759,1546,-0.03,183.6306,604.7122
6.698977,1588,-0.04,181.2265,553.8652
6.605003,1353,-0.02,171.8973,663.6508
6.72844,1776,0.04,179.0845,619.6512
7.063456,1762,-0.05,174.8228,733.6516
7.194781,1274,-0.03,186.2978,855.2681
6.946839,1756,-0.04,183.2586,670.894
6.708709,1579,-0.01,185.9641,572.4868
6.141248,1458,-0.04,194.7001,350.1678
